,response,noun,predicate,adjective,polarity,nounclass,firstutterance,slide_number,language,enjoyment,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id,asses
13,0.57,university,"{'positive': 'interesting', 'NPositive': 'not interesting', 'negative': 'uninteresting', 'NNegative': 'not uninteresting'}",uninteresting,negative,organization,is,16,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
14,0.35,woman,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'sad', 'NNegative': 'not sad'}",sad,negative,people,is not,17,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
15,0.58,person,"{'positive': 'fair', 'NPositive': 'not fair', 'negative': 'unfair', 'NNegative': 'not unfair'}",fair,positive,people,is not,18,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
16,0.38,woman,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'impolite', 'NNegative': 'not impolite'}",impolite,negative,people,is not,19,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
17,0.61,group,"{'positive': 'strong', 'NPositive': 'not strong', 'negative': 'weak', 'NNegative': 'not weak'}",weak,negative,people,is not,20,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
18,0.32,group,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",short,negative,people,is,21,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
19,0.54,group,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'frustrating', 'NNegative': 'not frustrating'}",frustrating,negative,people,is not,22,GREG,-1,,,-1,GREG0,Safari,Mac,956,1470,0.5113,1,
0,0.78,team,"{'positive': 'tall', 'NPositive': 'not tall', 'negative': 'short', 'NNegative': 'not short'}",short,negative,people,is not,3,GREG,-1,,,-1,GREG1,Safari,Mac,956,1470,0.2791166666666667,2,
1,0.3,group,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",short,negative,people,is,4,GREG,-1,,,-1,GREG1,Safari,Mac,956,1470,0.2791166666666667,2,
2,0.53,government,"{'positive': 'good', 'NPositive': 'not good', 'negative': 'bad', 'NNegative': 'not bad'}",bad,negative,organization,is not,5,GREG,-1,,,-1,GREG1,Safari,Mac,956,1470,0.2791166666666667,2,
0,0.94,person,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'unsatisfactory', 'NNegative': 'not unsatisfactory'}",unsatisfactory,negative,people,is,3,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
1,1.0,country,"{'positive': 'good', 'NPositive': 'not good', 'negative': 'bad', 'NNegative': 'not bad'}",good,positive,organization,is not,4,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
2,1.0,person,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'impolite', 'NNegative': 'not impolite'}",polite,positive,people,is not,5,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
3,0.39,person,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'frustrating', 'NNegative': 'not frustrating'}",frustrating,negative,people,is,6,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
4,0.0,team,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",long,positive,people,is not,7,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
5,0.0,person,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'unhappy', 'NNegative': 'not unhappy'}",unhappy,negative,people,is,8,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
6,0.0,woman,"{'positive': 'certain', 'NPositive': 'not certain', 'negative': 'uncertain', 'NNegative': 'not uncertain'}",uncertain,negative,people,is,9,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
7,0.0,team,"{'positive': 'accurate', 'NPositive': 'not accurate', 'negative': 'inaccurate', 'NNegative': 'not inaccurate'}",accurate,positive,people,is,10,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
8,0.0,team,"{'positive': 'possible', 'NPositive': 'not possible', 'negative': 'impossible', 'NNegative': 'not impossible'}",possible,positive,people,is,11,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
9,1.0,government,"{'positive': 'interesting', 'NPositive': 'not interesting', 'negative': 'uninteresting', 'NNegative': 'not uninteresting'}",interesting,positive,organization,is,12,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
10,1.0,person,"{'positive': 'fair', 'NPositive': 'not fair', 'negative': 'unfair', 'NNegative': 'not unfair'}",unfair,negative,people,is not,13,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
11,1.0,dorm,"{'positive': 'strong', 'NPositive': 'not strong', 'negative': 'weak', 'NNegative': 'not weak'}",weak,negative,organization,is not,14,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
12,1.0,person,"{'positive': 'friendly', 'NPositive': 'not friendly', 'negative': 'unfriendly', 'NNegative': 'not unfriendly'}",unfriendly,negative,people,is not,15,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
13,1.0,group,"{'positive': 'lucky', 'NPositive': 'not lucky', 'negative': 'unlucky', 'NNegative': 'not unlucky'}",lucky,positive,people,is not,16,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
14,0.0,university,"{'positive': 'tall', 'NPositive': 'not tall', 'negative': 'short', 'NNegative': 'not short'}",tall,positive,organization,is not,17,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
15,1.0,person,"{'positive': 'kind', 'NPositive': 'not kind', 'negative': 'mean', 'NNegative': 'not mean'}",kind,positive,people,is not,18,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
16,1.0,design,"{'positive': 'useful', 'NPositive': 'not useful', 'negative': 'useless', 'NNegative': 'not useless'}",useless,negative,organization,is,19,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
17,1.0,government,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'rude', 'NNegative': 'not rude'}",rude,negative,organization,is,20,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
18,0.0,dorm,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'sad', 'NNegative': 'not sad'}",happy,positive,organization,is,21,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
19,1.0,person,"{'positive': 'rich', 'NPositive': 'not rich', 'negative': 'poor', 'NNegative': 'not poor'}",rich,positive,people,is not,22,English,1,26,Male,3,This was an interesting study to partake in. Keep up the good work!,Chrome,Windows,1080,1920,4.030516666666666,3,Yes
0,0.51,team,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'impolite', 'NNegative': 'not impolite'}",polite,positive,people,is not,3,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
1,1.0,design,"{'positive': 'certain', 'NPositive': 'not certain', 'negative': 'uncertain', 'NNegative': 'not uncertain'}",certain,positive,organization,is not,4,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
2,0.52,government,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'unhappy', 'NNegative': 'not unhappy'}",happy,positive,organization,is,5,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
3,1.0,design,"{'positive': 'rich', 'NPositive': 'not rich', 'negative': 'poor', 'NNegative': 'not poor'}",poor,negative,organization,is not,6,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
4,0.47,woman,"{'positive': 'lucky', 'NPositive': 'not lucky', 'negative': 'unlucky', 'NNegative': 'not unlucky'}",lucky,positive,people,is,7,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
5,1.0,country,"{'positive': 'useful', 'NPositive': 'not useful', 'negative': 'useless', 'NNegative': 'not useless'}",useful,positive,organization,is not,8,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
6,0.0,group,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",long,positive,people,is not,9,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
7,0.0,man,"{'positive': 'tall', 'NPositive': 'not tall', 'negative': 'short', 'NNegative': 'not short'}",tall,positive,people,is not,10,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
8,0.95,country,"{'positive': 'strong', 'NPositive': 'not strong', 'negative': 'weak', 'NNegative': 'not weak'}",strong,positive,organization,is,11,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
9,0.95,government,"{'positive': 'fair', 'NPositive': 'not fair', 'negative': 'unfair', 'NNegative': 'not unfair'}",unfair,negative,organization,is,12,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
10,0.94,country,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'unsatisfactory', 'NNegative': 'not unsatisfactory'}",satisfactory,positive,organization,is,13,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
11,0.04,team,"{'positive': 'kind', 'NPositive': 'not kind', 'negative': 'mean', 'NNegative': 'not mean'}",mean,negative,people,is,14,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
12,0.47,man,"{'positive': 'accurate', 'NPositive': 'not accurate', 'negative': 'inaccurate', 'NNegative': 'not inaccurate'}",accurate,positive,people,is,15,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
13,0.97,design,"{'positive': 'good', 'NPositive': 'not good', 'negative': 'bad', 'NNegative': 'not bad'}",bad,negative,organization,is,16,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
14,0.48,person,"{'positive': 'possible', 'NPositive': 'not possible', 'negative': 'impossible', 'NNegative': 'not impossible'}",possible,positive,people,is,17,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
15,0.97,person,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'frustrating', 'NNegative': 'not frustrating'}",frustrating,negative,people,is not,18,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
16,0.95,university,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'rude', 'NNegative': 'not rude'}",rude,negative,organization,is,19,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
17,0.97,group,"{'positive': 'interesting', 'NPositive': 'not interesting', 'negative': 'uninteresting', 'NNegative': 'not uninteresting'}",interesting,positive,people,is not,20,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
18,0.95,design,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'sad', 'NNegative': 'not sad'}",sad,negative,organization,is,21,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
19,0.94,university,"{'positive': 'friendly', 'NPositive': 'not friendly', 'negative': 'unfriendly', 'NNegative': 'not unfriendly'}",friendly,positive,organization,is not,22,English,0,65,Female,3,This seemed pointless and absurdly subjective.,Firefox,Mac,1117,1728,5.787966666666667,4,Confused
0,0.98,government,"{'positive': 'possible', 'NPositive': 'not possible', 'negative': 'impossible', 'NNegative': 'not impossible'}",possible,positive,organization,is not,3,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
1,0.83,group,"{'positive': 'accurate', 'NPositive': 'not accurate', 'negative': 'inaccurate', 'NNegative': 'not inaccurate'}",inaccurate,negative,people,is not,4,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
2,0.77,woman,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",short,negative,people,is not,5,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
3,0.98,government,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'sad', 'NNegative': 'not sad'}",happy,positive,organization,is,6,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
4,0.8,man,"{'positive': 'rich', 'NPositive': 'not rich', 'negative': 'poor', 'NNegative': 'not poor'}",poor,negative,people,is not,7,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
5,1.0,team,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'frustrating', 'NNegative': 'not frustrating'}",frustrating,negative,people,is not,8,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
6,0.98,university,"{'positive': 'lucky', 'NPositive': 'not lucky', 'negative': 'unlucky', 'NNegative': 'not unlucky'}",lucky,positive,organization,is not,9,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
7,1.0,woman,"{'positive': 'strong', 'NPositive': 'not strong', 'negative': 'weak', 'NNegative': 'not weak'}",strong,positive,people,is not,10,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
8,1.0,group,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'impolite', 'NNegative': 'not impolite'}",impolite,negative,people,is not,11,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
9,0.98,dorm,"{'positive': 'friendly', 'NPositive': 'not friendly', 'negative': 'unfriendly', 'NNegative': 'not unfriendly'}",friendly,positive,organization,is not,12,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
10,0.98,university,"{'positive': 'kind', 'NPositive': 'not kind', 'negative': 'mean', 'NNegative': 'not mean'}",kind,positive,organization,is,13,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
11,1.0,group,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'unhappy', 'NNegative': 'not unhappy'}",happy,positive,people,is,14,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
12,1.0,design,"{'positive': 'good', 'NPositive': 'not good', 'negative': 'bad', 'NNegative': 'not bad'}",bad,negative,organization,is not,15,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
13,1.0,person,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'rude', 'NNegative': 'not rude'}",polite,positive,people,is not,16,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
14,0.92,person,"{'positive': 'certain', 'NPositive': 'not certain', 'negative': 'uncertain', 'NNegative': 'not uncertain'}",uncertain,negative,people,is not,17,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
15,1.0,university,"{'positive': 'useful', 'NPositive': 'not useful', 'negative': 'useless', 'NNegative': 'not useless'}",useful,positive,organization,is not,18,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
16,1.0,dorm,"{'positive': 'interesting', 'NPositive': 'not interesting', 'negative': 'uninteresting', 'NNegative': 'not uninteresting'}",interesting,positive,organization,is,19,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
17,1.0,team,"{'positive': 'fair', 'NPositive': 'not fair', 'negative': 'unfair', 'NNegative': 'not unfair'}",fair,positive,people,is,20,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
18,1.0,dorm,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'unsatisfactory', 'NNegative': 'not unsatisfactory'}",satisfactory,positive,organization,is not,21,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
19,0.91,dorm,"{'positive': 'tall', 'NPositive': 'not tall', 'negative': 'short', 'NNegative': 'not short'}",tall,positive,organization,is,22,English,1,31,Other,3,,Chrome,Windows,864,1536,3.52455,5,Yes
0,0.01,woman,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'rude', 'NNegative': 'not rude'}",rude,negative,people,is,3,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
1,0.08,university,"{'positive': 'accurate', 'NPositive': 'not accurate', 'negative': 'inaccurate', 'NNegative': 'not inaccurate'}",inaccurate,negative,organization,is,4,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
2,0.01,team,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",long,positive,people,is,5,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
3,0.95,country,"{'positive': 'strong', 'NPositive': 'not strong', 'negative': 'weak', 'NNegative': 'not weak'}",strong,positive,organization,is,6,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
4,0.0,dorm,"{'positive': 'possible', 'NPositive': 'not possible', 'negative': 'impossible', 'NNegative': 'not impossible'}",possible,positive,organization,is,7,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
5,0.91,group,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'impolite', 'NNegative': 'not impolite'}",polite,positive,people,is not,8,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
6,1.0,design,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'unsatisfactory', 'NNegative': 'not unsatisfactory'}",satisfactory,positive,organization,is not,9,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
7,0.93,woman,"{'positive': 'useful', 'NPositive': 'not useful', 'negative': 'useless', 'NNegative': 'not useless'}",useful,positive,people,is not,10,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
8,0.99,team,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'unhappy', 'NNegative': 'not unhappy'}",unhappy,negative,people,is not,11,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
9,0.9,person,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'frustrating', 'NNegative': 'not frustrating'}",satisfactory,positive,people,is,12,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
10,0.98,design,"{'positive': 'good', 'NPositive': 'not good', 'negative': 'bad', 'NNegative': 'not bad'}",bad,negative,organization,is not,13,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
11,0.05,university,"{'positive': 'fair', 'NPositive': 'not fair', 'negative': 'unfair', 'NNegative': 'not unfair'}",unfair,negative,organization,is not,14,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
12,0.02,country,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'sad', 'NNegative': 'not sad'}",sad,negative,organization,is not,15,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
13,0.09,man,"{'positive': 'kind', 'NPositive': 'not kind', 'negative': 'mean', 'NNegative': 'not mean'}",kind,positive,people,is not,16,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
14,0.98,man,"{'positive': 'lucky', 'NPositive': 'not lucky', 'negative': 'unlucky', 'NNegative': 'not unlucky'}",unlucky,negative,people,is not,17,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
15,0.02,university,"{'positive': 'tall', 'NPositive': 'not tall', 'negative': 'short', 'NNegative': 'not short'}",short,negative,organization,is,18,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
16,0.02,government,"{'positive': 'rich', 'NPositive': 'not rich', 'negative': 'poor', 'NNegative': 'not poor'}",poor,negative,organization,is not,19,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
17,0.96,group,"{'positive': 'certain', 'NPositive': 'not certain', 'negative': 'uncertain', 'NNegative': 'not uncertain'}",uncertain,negative,people,is,20,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
18,0.97,person,"{'positive': 'friendly', 'NPositive': 'not friendly', 'negative': 'unfriendly', 'NNegative': 'not unfriendly'}",unfriendly,negative,people,is not,21,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
19,0.97,dorm,"{'positive': 'interesting', 'NPositive': 'not interesting', 'negative': 'uninteresting', 'NNegative': 'not uninteresting'}",interesting,positive,organization,is not,22,English,2,27,Other,2,,Safari,an unknown OS,1180,820,10.556283333333333,6,Yes
0,0.97,design,"{'positive': 'kind', 'NPositive': 'not kind', 'negative': 'mean', 'NNegative': 'not mean'}",mean,negative,organization,is,3,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
1,0.98,person,"{'positive': 'good', 'NPositive': 'not good', 'negative': 'bad', 'NNegative': 'not bad'}",good,positive,people,is,4,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
2,0.97,group,"{'positive': 'interesting', 'NPositive': 'not interesting', 'negative': 'uninteresting', 'NNegative': 'not uninteresting'}",interesting,positive,people,is,5,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
3,0.75,man,"{'positive': 'tall', 'NPositive': 'not tall', 'negative': 'short', 'NNegative': 'not short'}",short,negative,people,is,6,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
4,0.65,dorm,"{'positive': 'long', 'NPositive': 'not long', 'negative': 'short', 'NNegative': 'not short'}",long,positive,organization,is,7,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
5,0.93,university,"{'positive': 'useful', 'NPositive': 'not useful', 'negative': 'useless', 'NNegative': 'not useless'}",useful,positive,organization,is,8,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
6,0.93,woman,"{'positive': 'rich', 'NPositive': 'not rich', 'negative': 'poor', 'NNegative': 'not poor'}",poor,negative,people,is not,9,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
7,0.75,dorm,"{'positive': 'fair', 'NPositive': 'not fair', 'negative': 'unfair', 'NNegative': 'not unfair'}",unfair,negative,organization,is not,10,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
8,0.95,person,"{'positive': 'happy', 'NPositive': 'not happy', 'negative': 'unhappy', 'NNegative': 'not unhappy'}",happy,positive,people,is not,11,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
9,0.96,person,"{'positive': 'satisfactory', 'NPositive': 'not satisfactory', 'negative': 'unsatisfactory', 'NNegative': 'not unsatisfactory'}",unsatisfactory,negative,people,is,12,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
10,0.72,person,"{'positive': 'certain', 'NPositive': 'not certain', 'negative': 'uncertain', 'NNegative': 'not uncertain'}",uncertain,negative,people,is,13,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
11,0.96,university,"{'positive': 'polite', 'NPositive': 'not polite', 'negative': 'impolite', 'NNegative': 'not impolite'}",impolite,negative,organization,is not,14,English,1,33,Female,3,,Safari,Mac,1107,1710,2.3092333333333332,7,Confused
