"","predicate","N","response","bootsci_high","bootsci_low"
"63","bright",23,0.56,0.683478260869565,0.433032608695652
"64","brilliant",26,0.721923076923077,0.804230769230769,0.630375
"65","British",46,0.273913043478261,0.365217391304348,0.191298913043478
"66","brown",20,0.4055,0.5405,0.2725
"67","bulging",26,0.486923076923077,0.578461538461538,0.397692307692308
"68","burdensome",24,0.6925,0.768333333333333,0.605416666666667
"69","bushy",17,0.449411764705882,0.559411764705882,0.344117647058824
"70","busy",18,0.632777777777778,0.743347222222222,0.511666666666667
"71","calculated",21,0.395714285714286,0.519535714285714,0.277130952380952
"72","calm",21,0.696666666666667,0.771904761904762,0.618571428571429
"73","Canaanite",17,0.311176470588235,0.424117647058824,0.194705882352941
"74","Canadian",43,0.141627906976744,0.194418604651163,0.0944186046511628
"75","Caribbean",19,0.338421052631579,0.502631578947368,0.186315789473684
"76","casual",21,0.674285714285714,0.756190476190476,0.578095238095238
"77","Catholic",20,0.23,0.363,0.114
"78","central",24,0.446666666666667,0.537916666666667,0.357072916666667
"79","certain",19,0.487894736842105,0.626842105263158,0.350526315789474
"80","charming",17,0.832941176470588,0.891176470588235,0.772941176470588
"81","cheap",15,0.639333333333333,0.801333333333333,0.461333333333333
"82","chemical",17,0.305882352941176,0.453544117647059,0.172352941176471
"83","chief",17,0.384705882352941,0.524117647058824,0.248823529411765
"84","Chinese",34,0.267647058823529,0.385007352941176,0.159411764705882
"85","Christian",27,0.388148148148148,0.525185185185185,0.256666666666667
"86","chronic",24,0.322083333333333,0.40875,0.239583333333333
"87","circular",22,0.167272727272727,0.278636363636364,0.0736363636363636
"88","civic",24,0.402083333333333,0.49125,0.311666666666667
"89","civil",10,0.595,0.73,0.459
"90","classic",22,0.584545454545455,0.695,0.470909090909091
"91","classical",26,0.518076923076923,0.63,0.407692307692308
"92","clean",14,0.621428571428571,0.761428571428571,0.481428571428571
"93","clear",16,0.635,0.74625,0.518125
"94","close",28,0.5375,0.635357142857143,0.434285714285714
"95","coarse",17,0.384705882352941,0.497073529411765,0.276470588235294
"96","coastal",16,0.29875,0.464375,0.156234375
"97","cognitive",24,0.286666666666667,0.40084375,0.184989583333333
"98","coincidental",18,0.549444444444444,0.672777777777778,0.419444444444444
"99","cold",19,0.60421052631579,0.688947368421053,0.516842105263158
"100","collaborative",30,0.528333333333333,0.610333333333333,0.443666666666667
"101","collective",16,0.29375,0.38,0.211234375
"102","colonial",21,0.327142857142857,0.45,0.210952380952381
"103","comfortable",18,0.755,0.87,0.618333333333333
"104","comic",27,0.628148148148148,0.715185185185185,0.52962962962963
"105","commercial",23,0.332608695652174,0.433489130434782,0.233478260869565
"106","common",26,0.568846153846154,0.660769230769231,0.470384615384615
"107","commonplace",14,0.567857142857143,0.682857142857143,0.435
"108","communal",15,0.425333333333333,0.57735,0.278
"109","compact",17,0.510588235294118,0.646470588235294,0.371764705882353
"110","comparable",23,0.546086956521739,0.651304347826087,0.438260869565217
"111","competent",23,0.575652173913043,0.684793478260869,0.465217391304348
"112","complex",20,0.65,0.7455125,0.5525
"113","compound",16,0.34,0.4725,0.22
"114","confidential",22,0.400454545454545,0.519102272727272,0.285909090909091
"115","conscious",19,0.396315789473684,0.522631578947368,0.275263157894737
"116","considerable",25,0.7192,0.7896,0.64399
"117","constitutional",20,0.2465,0.3195,0.181
"118","continental",15,0.412,0.57,0.254
"119","continued",28,0.34,0.418928571428571,0.261428571428571
"120","conventional",24,0.629166666666667,0.70084375,0.5575
"121","conversational",12,0.525833333333333,0.680833333333333,0.364166666666667
"122","cool",23,0.62695652173913,0.754347826086956,0.491728260869565
"123","coral",20,0.2845,0.4065,0.1705
"124","corporate",25,0.2272,0.3332,0.1348
"125","correct",18,0.42,0.581666666666667,0.265
"126","corrupt",16,0.66875,0.7725,0.558125
"127","cortical",12,0.461666666666667,0.615,0.3075
"128","countless",12,0.493333333333333,0.678333333333333,0.314166666666667
"129","covert",17,0.534705882352941,0.645882352941176,0.426470588235294
"130","cozy",25,0.7016,0.7784,0.6172
"131","crappy",23,0.79,0.883913043478261,0.679989130434782
"132","creative",15,0.824666666666667,0.890666666666667,0.751333333333333
"133","critical",19,0.663157894736842,0.775263157894737,0.534736842105263
"134","Cuban",23,0.186521739130435,0.317826086956522,0.0825978260869565
"135","cuddly",18,0.700555555555555,0.776666666666667,0.625
"136","cultural",27,0.503703703703704,0.591111111111111,0.412222222222222
"137","curly",21,0.402380952380952,0.502857142857143,0.306666666666667
"138","current",22,0.466818181818182,0.577727272727273,0.352272727272727
"139","custom",14,0.496428571428571,0.631428571428571,0.358571428571429
"140","cute",24,0.855416666666667,0.921666666666667,0.762916666666667
"141","Czech",13,0.220769230769231,0.347692307692308,0.107692307692308
"142","daily",14,0.141428571428571,0.255017857142857,0.0521428571428571
"143","dangerous",24,0.649166666666667,0.737916666666667,0.552072916666667
"144","Danish",28,0.0967857142857143,0.149285714285714,0.0553571428571429
"145","dark",22,0.459545454545455,0.573193181818182,0.345454545454545
"146","daytime",16,0.16375,0.238125,0.095625
"147","dazzling",22,0.700454545454545,0.805454545454545,0.586352272727273
"148","dead",31,0.15,0.24258064516129,0.0761290322580645
"149","dear",20,0.699,0.8010125,0.587
"150","decent",25,0.7536,0.8392,0.6592
"151","decisive",16,0.4875,0.648765625,0.328125
"152","dedicated",9,0.608888888888889,0.694444444444444,0.516666666666667
"153","deep",21,0.489047619047619,0.614285714285714,0.361904761904762
"154","deliberate",24,0.554166666666667,0.653333333333333,0.443739583333333
